STATE 8'S ACTION 4->10		0.0% of the time
STATE 8'S ACTION 4->11		0.0% of the time


STATE 9'S ACTION 1->1		0.0% of the time
STATE 9'S ACTION 1->2		0.0% of the time
STATE 9'S ACTION 1->3		0.0% of the time
STATE 9'S ACTION 1->4		0.0% of the time
STATE 9'S ACTION 1->5		0.0% of the time
STATE 9'S ACTION 1->6		0.0% of the time
STATE 9'S ACTION 1->7		0.0% of the time
STATE 9'S ACTION 1->8		0.09885362221042082% of the time
STATE 9'S ACTION 1->9		0.7999329183320623% of the time
STATE 9'S ACTION 1->10		0.10119349467539261% of the time
STATE 9'S ACTION 1->11		0.0% of the time
STATE 9'S ACTION 2->1		0.0% of the time
STATE 9'S ACTION 2->2		0.0% of the time
STATE 9'S ACTION 2->3		0.0% of the time
STATE 9'S ACTION 2->4		0.0% of the time
STATE 9'S ACTION 2->5		0.0% of the time
STATE 9'S ACTION 2->6		0.0% of the time
STATE 9'S ACTION 2->7		0.0% of the time
STATE 9'S ACTION 2->8		0.8005189102883944% of the time
STATE 9'S ACTION 2->9		0.1994651232411935% of the time
STATE 9'S ACTION 2->10		0.0% of the time
STATE 9'S ACTION 2->11		0.0% of the time
STATE 9'S ACTION 3->1		0.0% of the time
STATE 9'S ACTION 3->2		0.0% of the time
STATE 9'S ACTION 3->3		0.0% of the time
STATE 9'S ACTION 3->4		0.0% of the time
STATE 9'S ACTION 3->5		0.0% of the time
STATE 9'S ACTION 3->6		0.0% of the time
STATE 9'S ACTION 3->7		0.0% of the time
STATE 9'S ACTION 3->8		0.09968179830105171% of the time
STATE 9'S ACTION 3->9		0.8014589929096797% of the time
STATE 9'S ACTION 3->10		0.09884315826220944% of the time
STATE 9'S ACTION 3->11		0.0% of the time
STATE 9'S ACTION 4->1		0.0% of the time
STATE 9'S ACTION 4->2		0.0% of the time
STATE 9'S ACTION 4->3		0.0% of the time
STATE 9'S ACTION 4->4		0.0% of the time
STATE 9'S ACTION 4->5		0.0% of the time
STATE 9'S ACTION 4->6		0.0% of the time
STATE 9'S ACTION 4->7		0.0% of the time
STATE 9'S ACTION 4->8		0.0% of the time
STATE 9'S ACTION 4->9		0.20156031718710596% of the time
STATE 9'S ACTION 4->10		0.7984196684826336% of the time
STATE 9'S ACTION 4->11		0.0% of the time


STATE 10'S ACTION 1->1		0.0% of the time
STATE 10'S ACTION 1->2		0.0% of the time
STATE 10'S ACTION 1->3		0.0% of the time
STATE 10'S ACTION 1->4		0.0% of the time
STATE 10'S ACTION 1->5		0.0% of the time
STATE 10'S ACTION 1->6		0.7996273624699631% of the time
STATE 10'S ACTION 1->7		0.0% of the time
STATE 10'S ACTION 1->8		0.0% of the time
STATE 10'S ACTION 1->9		0.0994526386495488% of the time
STATE 10'S ACTION 1->10		0.0% of the time
STATE 10'S ACTION 1->11		0.10088401456964763% of the time
STATE 10'S ACTION 2->1		0.0% of the time
STATE 10'S ACTION 2->2		0.0% of the time
STATE 10'S ACTION 2->3		0.0% of the time
STATE 10'S ACTION 2->4		0.0% of the time
STATE 10'S ACTION 2->5		0.0% of the time
STATE 10'S ACTION 2->6		0.09943272611057846% of the time
STATE 10'S ACTION 2->7		0.0% of the time
STATE 10'S ACTION 2->8		0.0% of the time
STATE 10'S ACTION 2->9		0.8003355704697986% of the time
STATE 10'S ACTION 2->10		0.10019574944071588% of the time
STATE 10'S ACTION 2->11		0.0% of the time
STATE 10'S ACTION 3->1		0.0% of the time
STATE 10'S ACTION 3->2		0.0% of the time
STATE 10'S ACTION 3->3		0.0% of the time
STATE 10'S ACTION 3->4		0.0% of the time
STATE 10'S ACTION 3->5		0.0% of the time
STATE 10'S ACTION 3->6		0.0% of the time
STATE 10'S ACTION 3->7		0.0% of the time
STATE 10'S ACTION 3->8		0.0% of the time
STATE 10'S ACTION 3->9		0.10020769886465958% of the time
STATE 10'S ACTION 3->10		0.80050504039923% of the time
STATE 10'S ACTION 3->11		0.09925124359194977% of the time
STATE 10'S ACTION 4->1		0.0% of the time
STATE 10'S ACTION 4->2		0.0% of the time
STATE 10'S ACTION 4->3		0.0% of the time
STATE 10'S ACTION 4->4		0.0% of the time
STATE 10'S ACTION 4->5		0.0% of the time
STATE 10'S ACTION 4->6		0.09952340902719373% of the time
STATE 10'S ACTION 4->7		0.0% of the time
STATE 10'S ACTION 4->8		0.0% of the time
STATE 10'S ACTION 4->9		0.0% of the time
STATE 10'S ACTION 4->10		0.09983579638752052% of the time
STATE 10'S ACTION 4->11		0.8006207697544956% of the time


STATE 11'S ACTION 1->1		0.0% of the time
STATE 11'S ACTION 1->2		0.0% of the time
STATE 11'S ACTION 1->3		0.0% of the time
STATE 11'S ACTION 1->4		0.0% of the time
STATE 11'S ACTION 1->5		0.0% of the time
STATE 11'S ACTION 1->6		0.0% of the time
STATE 11'S ACTION 1->7		0.7996371051913227% of the time
STATE 11'S ACTION 1->8		0.0% of the time
STATE 11'S ACTION 1->9		0.0% of the time
STATE 11'S ACTION 1->10		0.10043836408304832% of the time
STATE 11'S ACTION 1->11		0.09990847343320969% of the time
STATE 11'S ACTION 2->1		0.0% of the time
STATE 11'S ACTION 2->2		0.0% of the time
STATE 11'S ACTION 2->3		0.0% of the time
STATE 11'S ACTION 2->4		0.0% of the time
STATE 11'S ACTION 2->5		0.0% of the time
STATE 11'S ACTION 2->6		0.0% of the time
STATE 11'S ACTION 2->7		0.10058686665973728% of the time
STATE 11'S ACTION 2->8		0.0% of the time
STATE 11'S ACTION 2->9		0.0% of the time
STATE 11'S ACTION 2->10		0.7993779533225128% of the time
STATE 11'S ACTION 2->11		0.1000151913713011% of the time
STATE 11'S ACTION 3->1		0.0% of the time
STATE 11'S ACTION 3->2		0.0% of the time
STATE 11'S ACTION 3->3		0.0% of the time
STATE 11'S ACTION 3->4		0.0% of the time
STATE 11'S ACTION 3->5		0.0% of the time
STATE 11'S ACTION 3->6		0.0% of the time
STATE 11'S ACTION 3->7		0.0% of the time
STATE 11'S ACTION 3->8		0.0% of the time
STATE 11'S ACTION 3->9		0.0% of the time
STATE 11'S ACTION 3->10		0.0998289739633789% of the time
STATE 11'S ACTION 3->11		0.9001391330694191% of the time
STATE 11'S ACTION 4->1		0.0% of the time
STATE 11'S ACTION 4->2		0.0% of the time
STATE 11'S ACTION 4->3		0.0% of the time
STATE 11'S ACTION 4->4		0.0% of the time
STATE 11'S ACTION 4->5		0.0% of the time
STATE 11'S ACTION 4->6		0.0% of the time
STATE 11'S ACTION 4->7		0.09989556282036405% of the time
STATE 11'S ACTION 4->8		0.0% of the time
STATE 11'S ACTION 4->9		0.0% of the time
STATE 11'S ACTION 4->10		0.0% of the time
STATE 11'S ACTION 4->11		0.9000884314816074% of the time




U


STATE 01: POLICY = 4:	 UTILITY = 0.8114856279154203
STATE 02: POLICY = 4:	 UTILITY = 0.867883673142765
STATE 03: POLICY = 4:	 UTILITY = 0.9179333357593166
STATE 04: POLICY = 0:	 UTILITY = 1.0
STATE 05: POLICY = 1:	 UTILITY = 0.7615155095247774
STATE 06: POLICY = 1:	 UTILITY = 0.6605076333003184
STATE 07: POLICY = 0:	 UTILITY = -1.0
STATE 08: POLICY = 1:	 UTILITY = 0.7052770010023551
STATE 09: POLICY = 2:	 UTILITY = 0.6552956950040573
STATE 10: POLICY = 2:	 UTILITY = 0.611391297360196
STATE 11: POLICY = 2:	 UTILITY = 0.38683521847669755


U+


